StrategyCombo,BuyOperator,SellOperator,BestParams,TrainPerformance,FinalPortfolioValue,StrategyType,Symbol
"['moving_average_crossover', 'rsi']",OR,AND,"{'moving_average_crossover': {'short_window': 10, 'long_window': 50}, 'rsi': {'period': 14, 'buy_threshold': 25, 'sell_threshold': 75}}",24.8167355297778,258167.355297778,combo,XRP/USD
"['macd', 'bollinger_bands']",AND,OR,"{'macd': {'fast_period': 20, 'slow_period': 26, 'signal_period': 9}, 'bollinger_bands': {'period': 14, 'std_dev': 2}}",0.45973967021332274,14597.396702133228,combo,XRP/USD
"['macd', 'bollinger_bands']",OR,AND,"{'macd': {'fast_period': 20, 'slow_period': 50, 'signal_period': 12}, 'bollinger_bands': {'period': 14, 'std_dev': 2.5}}",15.281899248778057,162818.99248778058,combo,XRP/USD
"['rsi', 'zscore_mean_reversion']",AND,AND,"{'rsi': {'period': 14, 'buy_threshold': 25, 'sell_threshold': 70}, 'zscore_mean_reversion': {'zscore_window': 14, 'zscore_threshold': 2.5}}",-0.8011119504338775,1988.880495661225,combo,XRP/USD
"['rsi', 'zscore_mean_reversion']",OR,OR,"{'rsi': {'period': 7, 'buy_threshold': 35, 'sell_threshold': 70}, 'zscore_mean_reversion': {'zscore_window': 14, 'zscore_threshold': 2.5}}",-0.6666888324690363,3333.1116753096367,combo,XRP/USD
"['high_low_breakout', 'volume_price_action']",AND,AND,"{'high_low_breakout': {'lookback': 48}, 'volume_price_action': {'volume_multiplier': 2.0}}",9.645172942916153,106451.72942916153,combo,XRP/USD
"['high_low_breakout', 'volume_price_action']",OR,OR,"{'high_low_breakout': {'lookback': 12}, 'volume_price_action': {'volume_multiplier': 2.5}}",-0.9156803326585736,843.1966734142637,combo,XRP/USD
"['vwap_zone', 'rsi']",AND,AND,"{'vwap_zone': {'rsi_period': 14, 'rsi_lower': 40, 'rsi_upper': 55}, 'rsi': {'period': 7, 'buy_threshold': 25, 'sell_threshold': 65}}",-0.5334058353741824,4665.941646258176,combo,XRP/USD
"['vwap_zone', 'rsi']",OR,OR,"{'vwap_zone': {'rsi_period': 14, 'rsi_lower': 40, 'rsi_upper': 60}, 'rsi': {'period': 7, 'buy_threshold': 35, 'sell_threshold': 70}}",-0.8748509727155518,1251.4902728444822,combo,XRP/USD
"['moving_average_crossover', 'rsi', 'bollinger_bands']",AND,OR,"{'moving_average_crossover': {'short_window': 5, 'long_window': 100}, 'rsi': {'period': 7, 'buy_threshold': 35, 'sell_threshold': 70}, 'bollinger_bands': {'period': 20, 'std_dev': 3}}",-0.950548888007805,494.51111992194984,combo,XRP/USD
"['macd', 'high_low_breakout', 'volume_price_action']",OR,AND,"{'macd': {'fast_period': 12, 'slow_period': 26, 'signal_period': 12}, 'high_low_breakout': {'lookback': 48}, 'volume_price_action': {'volume_multiplier': 2.5}}",148.98596442104594,1499859.6442104594,combo,XRP/USD
